Station or stop,Name,Coordinate Latitude,Coordinate Longitude,Number of trains,Minutes of delay,geometry,route_ids
80197079,KINDSBACH,49.42045,7.613668,30.880503,54.720126,POINT (7.61367 49.42045),3280.0
80160168,NIEDERTREBRA,51.0655,11.5807,28.091228,0.691228,POINT (11.58070 51.06550),6340.0
80105122,HAMM FELDMARK,51.697611,7.78787,23.058594,33.949219,POINT (7.78787 51.69761),2931.0
80190793,LUDWIGSHAFEN (RHEIN) BASF,49.510682,8.428922,27.984375,0.475,POINT (8.42892 49.51068),4030.0
80231464,BURGKEMNITZ,51.6894,12.40799,12.372549,1.176471,POINT (12.40799 51.68940),6132.0
80020644,HERBERTSHOFEN,48.52957,10.8493,42.0,0.0,POINT (10.84930 48.52957),5300.0
80042267,HOSENA,51.454332,14.0176,27.621514,60.322709,POINT (14.01760 51.45433),6207.0
80210831,DOERPEN,52.97195,7.35477,31.196226,85.833962,POINT (7.35477 52.97195),2931.0
80141234,ZWINGENBERG (BADEN),49.415932,9.043209,11.12766,8.191489,POINT (9.04321 49.41593),4111.0
80113308,LUETZELSACHSEN,49.52826,8.65035,56.507886,0.0,POINT (8.65035 49.52826),3601.0
80226910,UFFENHEIM,49.551275,10.243393,63.328125,59.734375,POINT (10.24339 49.55127),5321.0
80260877,IMMENREUTH,49.911916,11.869692,14.441718,0.0,POINT (11.86969 49.91192),5903.0
80174466,NUERNBERG-REICHELSDORF,49.382006,11.038586,30.764901,18.178808,POINT (11.03859 49.38201),5320.0
80221887,FUERTH(BAY)HBF,49.47084,10.988667,70.627726,189.191589,POINT (10.98867 49.47084),5972.0
80195081,KESTERT,50.187062,7.649026,65.440273,5.382253,POINT (7.64903 50.18706),3507.0
80103721,BAD SASSENDORF,51.58787,8.16281,21.35865,1.227848,POINT (8.16281 51.58787),1760.0
80148486,ANGERSDORF,51.460292,11.90357,26.574899,63.313765,POINT (11.90357 51.46029),6389.0
80241406,SAARBRUECKEN HBF,49.242099,6.99273,16.887781,37.762261,POINT (6.99273 49.24210),3511.0
80226902,HERRNBERCHTHEIM,49.59135,10.19668,63.453125,51.39375,POINT (10.19668 49.59135),5321.0
80011700,BAD BEVENSEN,53.07974,10.57551,72.68125,52.384375,POINT (10.57551 53.07974),1720.0
80066985,STEINPLEIS,50.7109,12.394034,16.350711,1.445498,POINT (12.39403 50.71090),6258.0
80112458,LEEHEIM-WOLFSKEHLEN,49.85563,8.493127,61.978125,3.09375,POINT (8.49313 49.85563),4010.0
80113092,HEMSBACH,49.590536,8.648901,56.750789,27.416404,POINT (8.64890 49.59054),3601.0
